תוצאות חיפוש קרנות נאמנות (סה"כ 1437 קרנות)
 16/07/2018 ***

שם,מעמד מס,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,100.30,100.30,0.18,12/07/2018,,,לא מתחייבת לחלק תשלומים,-0.27,-0.43,4.95,1.48,ב'-ה',36.1,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,131.20,131.20,-0.10,16/07/2018,,,לא מתחייבת לחלק תשלומים,-0.06,-3.76,-7.39,1.29,א'-ה',38.8,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,,4D,גמישות,,,103.69,103.67,0.78,12/07/2018,,,לא מתחייבת לחלק תשלומים,1.13,-4.04,-2.19,1.39,,16.7,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05123989,,4D,גמישות,,,100.89,100.89,0.56,12/07/2018,,,לא מתחייבת לחלק תשלומים,-0.47,-8.25,-5.23,1.60,,19.5,0.000,1.350,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,110.56,110.56,0.28,12/07/2018,,,לא מתחייבת לחלק תשלומים,0.25,2.79,10.17,0.72,,1518.8,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלמ תלתן 4D גמישה,פטורה,05124797,,4D,גמישות,,,113.56,113.56,0.44,12/07/2018,,,לא מתחייבת לחלק תשלומים,1.91,11.36,13.56,1.67,,28.5,0.000,1.200,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,,4D,גמישות,,,97.40,97.40,1.08,12/07/2018,,,לא מתחייבת לחלק תשלומים,1.59,-2.60,,,,0.7,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4395.17,4395.17,0.10,16/07/2018,,,לא מתחייבת לחלק תשלומים,1.04,-0.67,2.90,1.22,א'-ה',244.1,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,648.14,648.14,0.54,12/07/2018,,,לא מתחייבת לחלק תשלומים,0.45,-3.05,0.36,1.64,ב'-ה',223.6,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,109.66,109.66,0.84,12/07/2018,,,לא מתחייבת לחלק תשלומים,0.83,4.83,,1.23,,83.9,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
