תוצאות חיפוש קרנות נאמנות (סה"כ 1443 קרנות)
 19/08/2018 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות דיבידנד,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,99.86,99.86,0.30,16/08/2018,,,לא מתחייבת לחלק תשלומים,-0.22,-0.86,3.05,1.42,ב'-ה',33.8,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,132.26,132.26,0.39,19/08/2018,,,לא מתחייבת לחלק תשלומים,1.12,-2.98,-7.77,1.19,א'-ה',36.4,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,,4D,גמישות,,,102.99,102.98,0.57,16/08/2018,,,לא מתחייבת לחלק תשלומים,-0.40,-4.68,-2.18,1.27,,12.3,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05124797,,4D,גמישות,,,111.14,111.14,1.11,16/08/2018,,,לא מתחייבת לחלק תשלומים,-1.97,8.98,10.80,1.67,,66.1,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,110.87,110.87,0.54,16/08/2018,,,לא מתחייבת לחלק תשלומים,-0.35,3.08,8.56,0.74,,1564.1,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,,4D,גמישות,,,95.27,95.27,-0.59,16/08/2018,,,לא מתחייבת לחלק תשלומים,-0.02,-4.73,,1.74,,0.7,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4502.58,4502.58,0.23,19/08/2018,,,לא מתחייבת לחלק תשלומים,1.91,1.76,4.98,1.20,א'-ה',236.8,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,658.52,658.52,0.44,16/08/2018,,,לא מתחייבת לחלק תשלומים,1.53,-1.50,1.20,1.58,ב'-ה',221.5,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,110.30,110.30,0.41,16/08/2018,,,לא מתחייבת לחלק תשלומים,1.07,5.44,,1.23,,94.9,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,,4D,גמישות,,,96.17,96.17,0.03,16/08/2018,,,לא מתחייבת לחלק תשלומים,0.17,,,,ב'-ה',7.3,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
דולפין 4D גמישה,פטורה,05127279,,4D,גמישות,,,101.08,101.08,-0.26,16/08/2018,,,לא מתחייבת לחלק תשלומים,0.02,,,,,10.5,0.000,1.900,0.050,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
דיאמונד 4D גמישה,פטורה,05123609,,4D,גמישות,,,121.64,121.64,0.47,16/08/2018,,,לא מתחייבת לחלק תשלומים,1.31,15.28,17.74,2.36,,64.0,0.000,1.440,0.070,0.35%,איילון קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
הראל 4D השקעות,פטורה,05120779,,4D,גמישות,,,625.44,625.44,0.58,19/08/2018,,,לא מתחייבת לחלק תשלומים,1.51,-1.66,5.22,1.66,א'-ה',27.6,0.000,1.400,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
הראל 4D לשם,פטורה,05122114,,4D,גמישות,,,112.19,109.99,0.30,16/08/2018,,,לא מתחייבת לחלק תשלומים,-0.47,2.15,3.79,0.63,,46.7,2.000,0.200,0.020,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
הראל 4D ספיר,פטורה,05103999,,4D,גמישות,,,328.76,322.31,0.17,19/08/2018,,,לא מתחייבת לחלק תשלומים,0.94,-0.97,2.45,0.52,א'-ה',55.9,2.000,0.390,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,פי דאבליו סי חברה לנאמנויות (1971) בע"מ
טנדם 4D גמישה,פטורה,05125513,,4D,גמישות,,,107.08,107.08,0.22,16/08/2018,,,לא מתחייבת לחלק תשלומים,0.47,7.61,,2.64,,4.3,0.000,1.500,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
ילין 4D גמישה,פטורה,05114087,,4D,גמישות,,,198.10,198.10,0.45,19/08/2018,,,לא מתחייבת לחלק תשלומים,0.40,-1.14,2.00,1.25,א'-ה',447.0,0.000,1.940,0.050,0.35%,ילין לפידות-ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
