תוצאות חיפוש קרנות נאמנות (סה"כ 1619 קרנות)
 05/11/2018 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,97.95,97.95,-0.10,01/11/2018,,,לא מתחייבת לחלק תשלומים,-0.10,-2.76,-0.58,1.42,ב'-ה',31.7,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,134.16,134.16,-0.07,05/11/2018,,,לא מתחייבת לחלק תשלומים,0.31,-1.58,0.71,0.95,א'-ה',37.1,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,,4D,גמישות,,,102.89,102.87,1.06,01/11/2018,,,לא מתחייבת לחלק תשלומים,1.06,-4.79,-2.93,1.59,,9.9,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05124797,,4D,גמישות,,,111.86,111.86,1.08,01/11/2018,,,לא מתחייבת לחלק תשלומים,1.08,9.69,11.28,1.38,,66.1,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,110.61,110.61,0.83,01/11/2018,,,לא מתחייבת לחלק תשלומים,0.83,2.84,5.74,1.03,,1595.9,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,,4D,גמישות,,,92.33,92.33,0.73,01/11/2018,,,לא מתחייבת לחלק תשלומים,0.73,-7.67,,2.07,,0.7,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא טק גמישה,פטורה,05128293,,4D,גמישות,,,99.99,99.99,0.00,01/11/2018,,,לא מתחייבת לחלק תשלומים,0.00,,,,,,,0.500,0.040,0.35%,הראל-פיא קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4538.68,4538.68,-0.14,05/11/2018,,,לא מתחייבת לחלק תשלומים,0.65,2.57,3.70,1.29,א'-ה',245.9,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,665.43,665.43,1.13,01/11/2018,,,לא מתחייבת לחלק תשלומים,1.13,-0.47,-0.52,1.40,ב'-ה',227.4,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,111.05,111.05,0.48,01/11/2018,,,לא מתחייבת לחלק תשלומים,0.48,6.16,7.40,0.88,,111.8,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
