תוצאות חיפוש קרנות נאמנות (סה"כ 1446 קרנות)
 02/09/2018 ***

שם,מעמד מס*,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות דיבידנד,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,2,4D,גמישות,,,101.66,101.66,-0.96,30/08/2018,,,לא מתחייבת לחלק תשלומים,1.58,0.92,4.91,1.14,ב'-ה',33.8,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,135.95,135.95,0.12,02/09/2018,,,לא מתחייבת לחלק תשלומים,0.12,-0.27,4.06,1.02,א'-ה',36.4,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,2,4D,גמישות,,,107.38,107.37,-0.43,30/08/2018,,,לא מתחייבת לחלק תשלומים,3.85,-0.62,1.99,1.25,,12.3,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05124797,2,4D,גמישות,,,113.61,113.61,-0.66,30/08/2018,,,לא מתחייבת לחלק תשלומים,0.21,11.40,13.26,1.28,,66.1,0.000,1.260,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,2,4D,גמישות,,,112.89,112.89,-0.41,30/08/2018,,,לא מתחייבת לחלק תשלומים,1.47,4.96,10.54,0.77,,1564.1,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,2,4D,גמישות,,,98.78,98.78,-0.68,30/08/2018,,,לא מתחייבת לחלק תשלומים,3.66,-1.22,,1.41,,0.7,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4687.92,4687.92,0.44,02/09/2018,,,לא מתחייבת לחלק תשלומים,0.44,5.95,9.51,1.13,א'-ה',236.8,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,2,4D,גמישות,,,683.29,683.29,-0.49,30/08/2018,,,לא מתחייבת לחלק תשלומים,5.35,2.20,5.00,1.31,ב'-ה',221.5,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,2,4D,גמישות,,,112.17,112.17,-0.72,30/08/2018,,,לא מתחייבת לחלק תשלומים,2.79,7.23,,0.80,,94.9,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,2,4D,גמישות,,,99.07,99.07,-0.11,30/08/2018,,,לא מתחייבת לחלק תשלומים,3.19,,,,ב'-ה',7.3,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
