תוצאות חיפוש קרנות נאמנות (סה"כ 1408 קרנות)
 08/04/2018 ***

שם,מעמד מס,מס' ני"ע,קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,קרן קפ"מ אומדן תשואה שנתית,קרן קפ"מ תאריך נכונות****,מדיניות תשלומים,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,שווי נכסים (מליוני ש"ח),שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
אושן 4D גמישה,פטורה,05119995,,4D,גמישות,,,97.46,97.46,-0.99,04/04/2018,,,לא מתחייבת לחלק תשלומים,-1.89,-3.25,3.46,1.30,ב'-ה',41.3,0.000,1.850,0.050,0.35%,מודלים קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אזימוט השקעות 4D,פטורה,05114285,,4D,גמישות,,,133.49,133.49,0.90,08/04/2018,,,לא מתחייבת לחלק תשלומים,-0.98,-2.08,-0.41,1.25,א'-ה',42.5,0.000,1.940,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אילים 4D גמישה,פטורה,05123732,,4D,גמישות,,,103.88,103.85,-0.53,04/04/2018,,,לא מתחייבת לחלק תשלומים,-1.44,-3.88,-0.99,1.30,,35.2,0.000,0.950,0.040,0.35%,אילים קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלומות 4D גמישה,פטורה,05123989,,4D,גמישות,,,102.18,102.18,-1.23,04/04/2018,,,לא מתחייבת לחלק תשלומים,-1.50,-7.08,-2.51,1.31,,59.4,0.000,1.350,0.070,0.35%,אלומות ניהול קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
אלטשולר 4D גמישה,פטורה,05124201,,4D,גמישות,,,108.84,108.84,-0.60,04/04/2018,,,לא מתחייבת לחלק תשלומים,-0.68,1.19,9.44,0.73,,658.7,0.000,0.950,0.040,0.35%,אלטשולר-שחם ניהול קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אלפא ביתא 4D השקעות,פטורה,05126362,,4D,גמישות,,,94.69,94.69,-1.06,04/04/2018,,,לא מתחייבת לחלק תשלומים,-1.46,-5.31,,,,3.1,0.000,0.950,0.050,0.35%,מיטב דש קרנות נאמנות בע"מ,חברה לנאמנות של בנק אגוד בע"מ
אנליסט גמישה 4D קרן נאמנ,פטורה,05120795,,4D,גמישות,,,4301.22,4301.22,0.87,08/04/2018,,,לא מתחייבת לחלק תשלומים,-0.73,-2.79,2.83,0.99,א'-ה',290.1,0.000,1.930,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אנליסט השקעות 4D,פטורה,05101639,4,4D,גמישות,,,638.02,638.02,-1.28,04/04/2018,,,לא מתחייבת לחלק תשלומים,-1.92,-4.57,-0.38,1.46,ב'-ה',243.2,0.000,1.940,0.040,0.35%,אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע"מ,מזרחי טפחות חברה לנאמנות בע"מ
אפסילון 4D גמישה,פטורה,05124920,,4D,גמישות,,,104.52,104.52,-0.10,04/04/2018,,,לא מתחייבת לחלק תשלומים,-0.96,-0.09,,1.13,,40.0,0.000,1.300,0.050,0.35%,אפסילון ניהול קרנות נאמנות,מזרחי טפחות חברה לנאמנות בע"מ
ברק 4D גמישה,פטורה,05121066,,4D,גמישות,,,93.79,93.79,0.72,08/04/2018,,,לא מתחייבת לחלק תשלומים,-0.96,-6.13,2.22,1.51,א'-ה',3.3,0.000,1.800,0.100,0.35%,איילון קרנות נאמנות בע"מ,יובנק חברה לנאמנות בע"מ
